ID,Category,Geometry_Problem
193,Hình học không gian,"Cho hình chóp S .ABC có đáy là tam giác vuông tại A , SA vuông góc với đáy . Biết SA = 6cm ."
30,Đường tròn,Cho tam giác DEF nội tiếp đường tròn (O; 10cm). Tìm tâm đường tròn nội tiếp tam giác .
194,Tọa độ Oxyz,"Trong mặt phẳng tọa độ Oxy , cho đường thẳng d: 8x + 10y + 2 = 0 và điểm M(4 , -3)."
174,Tứ giác,"Cho hình chữ nhật MNPQ có cạnh MN = 5cm , NP = 12cm . Vẽ đường chéo MP ."
156,Đường tròn,"Cho đường tròn (O; 4cm) và điểm A nằm ngoài đường tròn sao cho OA = 5cm . Vẽ tiếp tuyến AB , AC ."
166,Tứ giác,"Cho hình bình hành XYZT có XY = 6cm , YZ = 6cm , góc X bằng 30 độ."
6,Tứ giác,"Cho hình thang ABCD vuông tại A và B , có đáy nhỏ AB = 12cm , đáy lớn BC = 4cm ."
57,Đường tròn,Cho hai đường tròn (O; 3cm) và (O'; 10cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
147,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 5cm , chiều cao h = 4cm ."
237,Hình học không gian,Cho hình lập phương MNPQ .M'N'P'Q' có cạnh bằng 8cm .
127,Tứ giác,"Cho hình bình hành EFGH có EF = 8cm , FG = 8cm , góc E bằng 60 độ."
66,Tứ giác,"Cho hình bình hành ABCD có AB = 4cm , BC = 15cm , góc A bằng 45 độ."
142,Tọa độ Oxyz,"Trong mặt phẳng tọa độ Oxy , cho đường thẳng d: 12x + 6y + -1 = 0 và điểm M(2 , 2)."
86,Hình học không gian,Cho hình lập phương MHIK.M'H'I'K' có cạnh bằng 10cm .
223,Hình học không gian,"Cho hình chóp S .MNPQ có đáy là hình chữ nhật , biết MN = 4cm ."
155,Tứ giác,"Cho hình thang ABCD vuông tại A and B , có đáy nhỏ AD = 4cm , đáy lớn BC = 4cm ."
32,Hình học không gian,"Cho hình chóp S .MNP có đáy là tam giác vuông tại M , SA vuông góc với đáy . Biết SA = 12cm ."
13,Đường tròn,Cho đường tròn tâm O bán kính 10cm.
36,Tam giác,"Cho tam giác MNP cân tại M có MN = 8cm , góc M bằng 30 độ. Vẽ đường cao MH ."
29,Đường tròn,Cho hai đường tròn (O; 5cm) và (O'; 8cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
43,Tam giác,Cho tam giác XYZ nhọn . Vẽ đường cao XD và YE cắt nhau tại H .
121,Đường tròn,Cho hai đường tròn (O; 3cm) và (O'; 5cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
114,Hình học không gian,Cho hình lập phương ABC có cạnh bằng 10cm .
23,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 4cm , chiều cao h = 6cm ."
209,Hình học không gian,"Cho hình chóp S .XYZ có đường cao SA , biết SA = 9cm ."
94,Tứ giác,Cho hình thoi MHIK có hai đường chéo HK = 4cm và MI = 8cm .
177,Tứ giác,Cho hình thoi MNPQ có hai đường chéo MP = 10cm and NQ = 6cm .
115,Hình học không gian,"Cho hình chóp tứ giác đều S .EFGH có cạnh đáy bằng 5cm , cạnh bên bằng 8cm ."
52,Tứ giác,Cho hình vuông ABCD có cạnh bằng 12cm . Vẽ hai đường chéo cắt nhau tại O .
113,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(8 ,0 ,0), B(0 ,4 ,0), C(0 ,0 ,5). Vẽ mặt phẳng (ABC)."
125,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(10 ,0 ,0), B(0 ,8 ,0), C(0 ,0 ,-1). Vẽ mặt phẳng (ABC)."
96,Tứ giác,"Cho hình thang ABCD vuông tại A và B , có đáy nhỏ AD = 5cm , đáy lớn BC = 6cm ."
241,Hình học không gian,Cho hình lập phương MNPQ .M'N'P'Q' có cạnh bằng 6cm .
224,Hình học không gian,Cho hình chóp S .ABCD có đáy là hình vuông cạnh bằng 6cm .
77,Tam giác,"Cho tam giác XYZ vuông tại X , đường cao XH . Biết XY = 12cm , YZ = 8cm ."
42,Tứ giác,"Cho hình bình hành XYZT có XY = 5cm , YZ = 6cm , góc X bằng 30 độ."
128,Đường tròn,Cho tam giác MNP nội tiếp đường tròn (O; 6cm). Tìm tâm đường tròn nội tiếp tam giác .
159,Tam giác,"Cho tam giác XYZ vuông tại X có XY = 5cm , YZ = 15cm ."
79,Tam giác,Cho tam giác ABC đều cạnh bằng 6cm . Vẽ đường tròn ngoại tiếp tam giác ABC .
163,Tam giác,Cho tam giác DEF nhọn . Vẽ đường cao DI và EH cắt nhau tại O .
27,Tam giác,Cho tam giác DEF đều cạnh bằng 8cm . Vẽ đường tròn ngoại tiếp tam giác DEF .
253,Đường tròn,Cho đường tròn tâm O đường kính 14cm.
214,Hình học không gian,Cho hình chóp S .ABC có đường cao SH vuông góc với đáy .
119,Tứ giác,"Cho hình thang ABCD vuông tại A and B , có đáy nhỏ AD = 3cm , đáy lớn BC = 5cm ."
197,Hình học không gian,"Cho hình chóp S .HIK có đáy là tam giác vuông tại H , SA vuông góc với đáy . Biết SA = 8cm ."
144,Tứ giác,Cho hình thoi DEFG có hai đường chéo DF = 5cm and EG = 12cm .
1,Tam giác,Cho tam giác ABC nhọn . Vẽ đường cao AD và BE cắt nhau tại H .
101,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(5 ,0 ,0), B(0 ,8 ,0), C(0 ,0 ,2). Vẽ mặt phẳng (ABC)."
187,Tam giác,Cho tam giác XYZ nhọn . Vẽ đường cao XD và YE cắt nhau tại H .
183,Tam giác,"Cho tam giác EFG vuông tại E , đường cao EH . Biết EF = 6cm , FG = 10cm ."
99,Tứ giác,"Cho hình bình hành ABCD có AB = 5cm , BC = 5cm , góc A bằng 60 độ."
37,Tam giác,Cho tam giác DEF đều cạnh bằng 8cm . Vẽ đường tròn ngoại tiếp tam giác DEF .
62,Tứ giác,Cho hình vuông DEFG có cạnh bằng 8cm . Vẽ hai đường chéo cắt nhau tại O .
222,Hình học không gian,Cho hình chóp S .ABC có đường cao SA = 5cm .
191,Hình học không gian,"Cho hình chóp S .ABC có đáy là tam giác vuông tại A , SA vuông góc với đáy . Biết SA = 12cm ."
12,Đường tròn,"Cho đường tròn tâm O bán kính 6cm và điểm A nằm ngoài đường tròn sao cho OA = 6cm . Vẽ tiếp tuyến AB , AC ."
256,Đường tròn,Cho đường tròn tâm O bán kính 3cm.
207,Hình học không gian,Cho hình chóp S .ABC có đáy là tam giác cân tại A .
28,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(6 ,0 ,0), B(0 ,5 ,0), C(0 ,0 ,2). Vẽ mặt phẳng (ABC)."
230,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' biết AB = 6cm .
5,Đường tròn,"Cho đường tròn (O; 3cm) và điểm A nằm ngoài đường tròn sao cho OA = 4cm . Vẽ tiếp tuyến AB , AC ."
123,Hình học không gian,"Cho hình chóp S .EFGH có đáy là tam giác vuông tại E , SA vuông góc với đáy . Biết SA = 8cm ."
33,Tứ giác,"Cho hình chữ nhật MNPQ có cạnh MN = 6cm , NP = 8cm . Vẽ đường chéo MP ."
151,Hình học không gian,"Cho hình chóp tứ giác đều S .EFGH có cạnh đáy bằng 3cm , cạnh bên bằng 4cm ."
186,Đường tròn,"Cho đường tròn (O; 4cm) và điểm A nằm ngoài đường tròn sao cho OA = 15cm . Vẽ tiếp tuyến AB , AC ."
139,Tứ giác,Cho hình thoi DEFG có hai đường chéo DF = 4cm and EG = 8cm .
63,Tọa độ Oxyz,"Trong mặt phẳng tọa độ Oxy , cho đường thẳng d: 5x + 4y + -1 = 0 và điểm M(3 , -1)."
136,Tọa độ Oxyz,"Trong mặt phẳng tọa độ Oxy , cho đường thẳng d: 12x + 8y + 3 = 0 và điểm M(2 , 4)."
129,Hình học không gian,Cho hình lập phương ABC có cạnh bằng 8cm .
238,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có cạnh bằng 10cm .
198,Đường tròn,Cho hai đường tròn (O; 12cm) và (O'; 6cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
71,Đường tròn,Cho tam giác HIK nội tiếp đường tròn (O; 10cm). Tìm tâm đường tròn nội tiếp tam giác .
201,Hình học không gian,Cho hình chóp S .ABCD có đáy ABCD là hình vuông cạnh 5cm .
65,Đường tròn,Cho tam giác HIK nội tiếp đường tròn (O; 6cm). Tìm tâm đường tròn nội tiếp tam giác .
45,Tam giác,"Cho tam giác XYZ cân tại X có XY = 3cm , góc X bằng 30 độ. Vẽ đường cao XH ."
169,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 3cm , chiều cao h = 10cm ."
157,Tứ giác,Cho hình vuông XYZT có cạnh bằng 12cm . Vẽ hai đường chéo cắt nhau tại O .
41,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 4cm , chiều cao h = 10cm ."
124,Đường tròn,"Cho đường tròn (O; 12cm) và điểm A nằm ngoài đường tròn sao cho OA = 10cm . Vẽ tiếp tuyến AB , AC ."
154,Tứ giác,"Cho hình bình hành EFGH có EF = 12cm , FG = 6cm , góc E bằng 30 độ."
24,Tứ giác,Cho hình thoi ABC có hai đường chéo AC = 6cm và BD = 12cm .
196,Đường tròn,"Cho đường tròn (O; 10cm) và điểm A nằm ngoài đường tròn sao cho OA = 4cm . Vẽ tiếp tuyến AB , AC ."
233,Hình học không gian,Cho hình lập phương MNPQ .M'N'P'Q' biết MN = 3cm .
82,Tứ giác,"Cho hình chữ nhật ABCD có cạnh AB = 8cm , BC = 10cm . Vẽ đường chéo AC ."
40,Tứ giác,Cho hình thoi ABCD có hai đường chéo AC = 6cm và BD = 6cm .
218,Hình học không gian,Cho hình chóp S .ABCD có đáy ABCD là hình thoi cạnh 5cm .
48,Tam giác,"Cho tam giác MNPQ vuông tại M , đường cao MH . Biết MN = 3cm , NP = 6cm ."
95,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 8cm , chiều cao h = 6cm ."
199,Tam giác,Cho tam giác XYZ nhọn . Vẽ đường cao XD và YE cắt nhau tại H .
162,Tứ giác,Cho hình thoi MHIK có hai đường chéo HK = 6cm and MI = 12cm .
44,Tọa độ Oxyz,"Trong mặt phẳng tọa độ Oxy , cho đường thẳng d: 4x + 12y + 1 = 0 và điểm M(2 , 2)."
146,Đường tròn,"Cho đường tròn (O; 12cm) và điểm A nằm ngoài đường tròn sao cho OA = 4cm . Vẽ tiếp tuyến AB , AC ."
179,Tọa độ Oxyz,"Trong mặt phẳng tọa độ Oxy , cho đường thẳng d: 6x + 8y + 1 = 0 và điểm M(2 , -3)."
4,Hình học không gian,"Cho hình chóp S .MNPQ có đáy là tam giác vuông tại M , SA vuông góc với đáy . Biết SA = 8cm ."
106,Tứ giác,Cho hình vuông CDEF có cạnh bằng 5cm . Vẽ hai đường chéo cắt nhau tại O .
54,Đường tròn,Cho tam giác XYZ nội tiếp đường tròn (O; 10cm). Tìm tâm đường tròn nội tiếp tam giác .
134,Tam giác,"Cho tam giác EFG vuông tại E có EF = 3cm , FG = 6cm . Tính cạnh EG ."
239,Hình học không gian,Cho hình lập phương XYZT .X'Y'Z'T' có cạnh bằng 4cm .
202,Hình học không gian,Cho hình chóp S .ABC có đáy ABC là tam giác vuông tại B .
244,Hình học không gian,Cho hình lập phương XYZT .X'Y'Z'T' biết XX' = 6cm .
50,Tứ giác,"Cho hình chữ nhật AXYZ có cạnh XY = 6cm , YZ = 4cm . Vẽ đường chéo XZ ."
164,Tam giác,"Cho tam giác EFG vuông tại E , đường cao EH . Biết EF = 3cm , FG = 5cm ."
81,Tam giác,"Cho tam giác XYZ vuông tại X , đường cao XH . Biết XY = 6cm , YZ = 12cm ."
35,Hình học không gian,"Cho hình chóp tứ giác đều S .ABC có cạnh đáy bằng 4cm , cạnh bên bằng 5cm ."
250,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có cạnh bằng 12cm .
8,Tam giác,"Cho tam giác HIK cân tại H có HI = 10cm , góc H bằng 30 độ. Vẽ đường cao HH ."
172,Đường tròn,Cho đường tròn (O) đường kính HK = 12cm . Vẽ dây cung MN vuông góc với HK tại I .
221,Hình học không gian,Cho hình chóp S .ABCD có cạnh bên SA vuông góc với đáy .
111,Hình học không gian,"Cho hình chóp S .HIK có đáy là tam giác vuông tại H , SA vuông góc với đáy . Biết SA = 3cm ."
92,Tứ giác,"Cho hình thang EFGH vuông tại E và F , có đáy nhỏ EH = 4cm , đáy lớn FG = 8cm ."
84,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(10 ,0 ,0), B(0 ,15 ,0), C(0 ,0 ,-5). Vẽ mặt phẳng (ABC)."
234,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có cạnh bằng 2cm .
240,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' biết cạnh AA' = 5cm .
90,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(8 ,0 ,0), B(0 ,12 ,0), C(0 ,0 ,2). Vẽ mặt phẳng (ABC)."
9,Tứ giác,"Cho hình thang MNPQ vuông tại M và N , có đáy nhỏ MN = 6cm , đáy lớn NP = 12cm ."
14,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 5cm , chiều cao h = 12cm ."
60,Tứ giác,"Cho hình chữ nhật RXYZ có cạnh XY = 8cm , YZ = 10cm . Vẽ đường chéo XZ ."
226,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có cạnh bằng 4cm .
132,Hình học không gian,"Cho hình chóp tứ giác đều S .ABCD có cạnh đáy bằng 12cm , cạnh bên bằng 10cm ."
18,Tam giác,Cho tam giác DEF nhọn . Vẽ đường cao DD và EE cắt nhau tại H .
167,Đường tròn,Cho hai đường tròn (O; 5cm) và (O'; 12cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
73,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(10 ,0 ,0), B(0 ,4 ,0), C(0 ,0 ,3). Vẽ mặt phẳng (ABC)."
231,Hình học không gian,Cho hình lập phương MNPQ .M'N'P'Q' có đường chéo bằng 9cm .
